,path,name,continent,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,economicblocs,linguisticblocs,militarydefenseblocs,politicalregionalblocs,religions,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance
0,/Event,Event,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/Event/7434046693,7434046693,,,,2023-03-07T02:56:00,2023-03-07T02:56:00,,0,eng,,bnnbloomberg.ca,,,,,,,,,,,,,,,,,,,,,,,,
2,/Event/7434046693/7434048306,7434048306,AS,IN,C18,2023-03-07T02:56:00,2023-03-07T02:59:00,C17,7434046693,eng,unknown,economictimes.indiatimes.com,?,?,?,?,?,Hindu,,,,,,,,,,,,,,,,,,
3,/Event/7434046693/7434057757,7434057757,AS,IN,C18,2023-03-07T02:56:00,2023-03-07T03:10:00,C17,7434046693,eng,unknown,business-standard.com,?,?,?,?,?,Hindu,,,,,,,,,,,,,,,,,,
4,/Event/7434046693/7434057757/7434288568,7434288568,,,,2023-03-07T03:10:00,2023-03-07T07:14:00,,7434046693,eng,,gadgets360.com,,,,,,,89,106,39,54,112,48,26,70,125,51,84,56,161,112,77,138,124,40
5,/Event/7434046693/7434057757/7434738211,7434738211,EU,IE,C4,2023-03-07T03:10:00,2023-03-07T12:30:00,C2,7434046693,eng,unknown,independent.ie,?,EU,Eng,?,?,Christian,89,106,39,54,112,48,26,70,125,51,84,56,161,112,77,138,124,40
6,/Event/7434046693/7434057757/7434867852,7434867852,,,,2023-03-07T03:10:00,2023-03-07T13:58:00,,7434046693,eng,,tradingview.com,,,,,,,89,106,39,54,112,48,26,70,125,51,84,56,161,112,77,138,124,40
7,/Event/7434046693/7434057757/7434872487,7434872487,,,,2023-03-07T03:10:00,2023-03-07T14:01:00,,7434046693,eng,,beincrypto.com,,,,,,,89,106,39,54,112,48,26,70,125,51,84,56,161,112,77,138,124,40
8,/Event/7434046693/7434057757/7435143155,7435143155,,,,2023-03-07T03:10:00,2023-03-07T17:08:00,,7434046693,eng,,qz.com,,,,,,,89,106,39,54,112,48,26,70,125,51,84,56,161,112,77,138,124,40
9,/Event/7434046693/7434057757/7435347134,7435347134,,USA,C4,2023-03-07T03:10:00,2023-03-07T20:02:00,C2,7434046693,eng,Center-left,breitbart.com,ChatGPT,NAFTA,Eng,NATO,?,Christian,89,106,39,54,112,48,26,70,125,51,84,56,161,112,77,138,124,40
10,/Event/7434046693/7434057757/7438224383,7438224383,,,,2023-03-07T03:10:00,2023-03-09T11:28:00,,7434046693,eng,,indiatoday.in,,,,,,,89,106,39,54,112,48,26,70,125,51,84,56,161,112,77,138,124,40
11,/Event/7434046693/7434057757/7439143219,7439143219,,,,2023-03-07T03:10:00,2023-03-09T22:12:00,,7434046693,eng,,talkxbox.com,,,,,,,89,106,39,54,112,48,26,70,125,51,84,56,161,112,77,138,124,40
12,/Event/7434046693/7434057757/7440005491,7440005491,AS,IN,C18,2023-03-07T03:10:00,2023-03-10T10:59:00,C17,7434046693,eng,unknown,firstpost.com,?,?,?,?,?,Hindu,89,106,39,54,112,48,26,70,125,51,84,56,161,112,77,138,124,40
13,/Event/7434046693/7434062356,7434062356,AS,SG,C18,2023-03-07T02:56:00,2023-03-07T03:16:00,C2,7434046693,eng,Center-right,straitstimes.com,ChatGPT,ASEAN,?,?,?,Buddhist,,,,,,,,,,,,,,,,,,
14,/Event/7434046693/7434062356/7434347451,7434347451,,,,2023-03-07T03:16:00,2023-03-07T08:02:00,,7434046693,eng,,neowin.net,,,,,,,1,1,11,18,1,20,46,4,14,72,1,48,87,107,74,7,21,8
15,/Event/7434046693/7434062356/7435364768,7435364768,,USA,C4,2023-03-07T03:16:00,2023-03-07T20:19:00,C2,7434046693,eng,unknown,sfgate.com,?,NAFTA,Eng,NATO,?,Christian,1,1,11,18,1,20,46,4,14,72,1,48,87,107,74,7,21,8
16,/Event/7434046693/7434062356/7435458907,7435458907,,,,2023-03-07T03:16:00,2023-03-07T22:09:00,,7434046693,eng,,sfist.com,,,,,,,1,1,11,18,1,20,46,4,14,72,1,48,87,107,74,7,21,8
17,/Event/7434046693/7434062356/7436485081,7436485081,,USA,C4,2023-03-07T03:16:00,2023-03-08T12:09:00,C2,7434046693,eng,unknown,dailyrepublic.com,?,NAFTA,Eng,NATO,?,Christian,1,1,11,18,1,20,46,4,14,72,1,48,87,107,74,7,21,8
18,/Event/7434046693/7434062356/7436485080,7436485080,,USA,C4,2023-03-07T03:16:00,2023-03-08T12:09:00,C2,7434046693,eng,unknown,dailyrepublic.com,?,NAFTA,Eng,NATO,?,Christian,1,1,11,18,1,20,46,4,14,72,1,48,87,107,74,7,21,8
19,/Event/7434046693/7434074816,7434074816,,,,2023-03-07T02:56:00,2023-03-07T03:33:00,,7434046693,eng,,news.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,
20,/Event/7434046693/7434088801,7434088801,AS,IN,C18,2023-03-07T02:56:00,2023-03-07T03:52:00,C17,7434046693,eng,Independent,pragativadi.com,https:en.wikipedia.orgwikiPragativadi,?,?,?,?,Hindu,,,,,,,,,,,,,,,,,,
21,/Event/7434046693/7434088801/7434219099,7434219099,EU,UK,C4,2023-03-07T03:52:00,2023-03-07T06:13:00,C2,7434046693,eng,unknown,reuters.com,?,?,Eng,NATO,?,Christian,89,106,39,54,112,48,26,70,125,51,84,56,161,112,77,138,124,40
22,/Event/7434046693/7434088801/7434583113,7434583113,,,,2023-03-07T03:52:00,2023-03-07T10:52:00,,7434046693,eng,,ca.sports.yahoo.com,,,,,,,89,106,39,54,112,48,26,70,125,51,84,56,161,112,77,138,124,40
23,/Event/7434046693/7434088801/7434593665,7434593665,,,,2023-03-07T03:52:00,2023-03-07T10:55:00,,7434046693,eng,,silicon.co.uk,,,,,,,89,106,39,54,112,48,26,70,125,51,84,56,161,112,77,138,124,40
24,/Event/7434046693/7434088801/7434817793,7434817793,AS,CN,C18,2023-03-07T03:52:00,2023-03-07T13:24:00,C9,7434046693,eng,unknown,in.investing.com,?,?,?,?,?,Irreligion,89,106,39,54,112,48,26,70,125,51,84,56,161,112,77,138,124,40
25,/Event/7434046693/7434088801/7435220845,7435220845,,,,2023-03-07T03:52:00,2023-03-07T18:10:00,,7434046693,eng,,verdict.co.uk,,,,,,,89,106,39,54,112,48,26,70,125,51,84,56,161,112,77,138,124,40
26,/Event/7434046693/7434088801/7435870368,7435870368,AS,IN,C18,2023-03-07T03:52:00,2023-03-08T04:37:00,C17,7434046693,eng,unknown,thehindu.com,?,?,?,?,?,Hindu,89,106,39,54,112,48,26,70,125,51,84,56,161,112,77,138,124,40
27,/Event/7434046693/7434088801/7439055613,7439055613,,,,2023-03-07T03:52:00,2023-03-09T20:54:00,,7434046693,eng,,srilankasource.com,,,,,,,89,106,39,54,112,48,26,70,125,51,84,56,161,112,77,138,124,40
28,/Event/7434046693/7434088801/7439096041,7439096041,,,,2023-03-07T03:52:00,2023-03-09T21:28:00,,7434046693,eng,,myanmarnews.net,,,,,,,89,106,39,54,112,48,26,70,125,51,84,56,161,112,77,138,124,40
29,/Event/7434046693/7434088801/7440916706,7440916706,,,,2023-03-07T03:52:00,2023-03-10T21:59:00,,7434046693,eng,,msn.com,,,,,,,89,106,39,54,112,48,26,70,125,51,84,56,161,112,77,138,124,40
30,/Event/7434046693/7434091074,7434091074,AS,IN,C18,2023-03-07T02:56:00,2023-03-07T03:54:00,C17,7434046693,eng,Pro-business,thehindubusinessline.com,https:en.wikipedia.orgwikiBusiness_Line,?,?,?,?,Hindu,,,,,,,,,,,,,,,,,,
31,/Event/7434046693/7434097081,7434097081,AS,PH,C18,2023-03-07T02:56:00,2023-03-07T04:02:00,C18,7434046693,eng,unknown,business.inquirer.net,?,ASEAN,?,?,?,Christian,,,,,,,,,,,,,,,,,,
32,/Event/7434046693/7434097081/7434299397,7434299397,,USA,C4,2023-03-07T04:02:00,2023-03-07T07:23:00,C2,7434046693,eng,unknown,businessinsider.com,?,NAFTA,Eng,NATO,?,Christian,53,86,71,93,96,32,42,82,109,27,78,64,71,83,94,146,22,44
33,/Event/7434046693/7434097081/7434334247,7434334247,,,,2023-03-07T04:02:00,2023-03-07T07:52:00,,7434046693,eng,,rte.ie,,,,,,,53,86,71,93,96,32,42,82,109,27,78,64,71,83,94,146,22,44
34,/Event/7434046693/7434097081/7434491168,7434491168,,,,2023-03-07T04:02:00,2023-03-07T09:46:00,,7434046693,eng,,digitaltrends.com,,,,,,,53,86,71,93,96,32,42,82,109,27,78,64,71,83,94,146,22,44
35,/Event/7434046693/7434097081/7434701725,7434701725,,,,2023-03-07T04:02:00,2023-03-07T12:07:00,,7434046693,eng,,wraltechwire.com,,,,,,,53,86,71,93,96,32,42,82,109,27,78,64,71,83,94,146,22,44
36,/Event/7434046693/7434097081/7434949870,7434949870,,,,2023-03-07T04:02:00,2023-03-07T14:53:00,,7434046693,eng,,devdiscourse.com,,,,,,,53,86,71,93,96,32,42,82,109,27,78,64,71,83,94,146,22,44
37,/Event/7434046693/7434097081/7435109056,7435109056,,,,2023-03-07T04:02:00,2023-03-07T16:43:00,,7434046693,eng,,forbes.com,,,,,,,53,86,71,93,96,32,42,82,109,27,78,64,71,83,94,146,22,44
38,/Event/7434046693/7434097081/7435888994,7435888994,AS,IN,C18,2023-03-07T04:02:00,2023-03-08T04:58:00,C17,7434046693,eng,unknown,newindianexpress.com,?,?,?,?,?,Hindu,53,86,71,93,96,32,42,82,109,27,78,64,71,83,94,146,22,44
39,/Event/7434046693/7434097081/7441113341,7441113341,,,,2023-03-07T04:02:00,2023-03-11T02:05:00,,7434046693,eng,,dnaindia.com,,,,,,,53,86,71,93,96,32,42,82,109,27,78,64,71,83,94,146,22,44
40,/Event/7434046693/7434098992,7434098992,,,,2023-03-07T02:56:00,2023-03-07T04:05:00,,7434046693,eng,,india.com,,,,,,,,,,,,,,,,,,,,,,,,
41,/Event/7434046693/7434100624,7434100624,AS,IN,C18,2023-03-07T02:56:00,2023-03-07T04:06:00,C17,7434046693,eng,unknown,freepressjournal.in,?,?,?,?,?,Hindu,,,,,,,,,,,,,,,,,,
42,/Event/7434046693/7434103859,7434103859,AS,AE,C19,2023-03-07T02:56:00,2023-03-07T04:10:00,C9,7434046693,eng,Pro-government,thenationalnews.com,https:en.wikipedia.orgwikiThe_National_(Abu_Dhabi),?,Ara,?,AL,Muslim,,,,,,,,,,,,,,,,,,
43,/Event/7434046693/7434103859/7434631330,7434631330,AS,IL,C9,2023-03-07T04:10:00,2023-03-07T11:19:00,C1,7434046693,eng,unknown,i24news.tv,?,?,?,?,?,Jewish,26,42,22,38,33,36,22,32,47,22,22,52,119,146,74,50,78,66
44,/Event/7434046693/7434103859/7435273071,7435273071,,,,2023-03-07T04:10:00,2023-03-07T18:54:00,,7434046693,eng,,slashgear.com,,,,,,,26,42,22,38,33,36,22,32,47,22,22,52,119,146,74,50,78,66
45,/Event/7434046693/7434116108,7434116108,,,,2023-03-07T02:56:00,2023-03-07T04:24:00,,7434046693,eng,,businessworld.in,,,,,,,,,,,,,,,,,,,,,,,,
46,/Event/7434046693/7434116108/7434202794,7434202794,AS,IN,C18,2023-03-07T04:24:00,2023-03-07T05:59:00,C17,7434046693,eng,Center-left,zeenews.india.com,ChatGPT,?,?,?,?,Hindu,,,,,,,,,,,,,,,,,,
47,/Event/7434046693/7434124598,7434124598,,,,2023-03-07T02:56:00,2023-03-07T04:34:00,,7434046693,eng,,yourstory.com,,,,,,,,,,,,,,,,,,,,,,,,
48,/Event/7434046693/7434124598/7434354071,7434354071,,,,2023-03-07T04:34:00,2023-03-07T08:06:00,,7434046693,eng,,businessinsider.nl,,,,,,,,,,,,,,,,,,,,,,,,
49,/Event/7434046693/7434124598/7434354071/7437900266,7437900266,,,,2023-03-07T08:06:00,2023-03-09T08:04:00,,7434046693,eng,,indiatoday.in,,,,,,,,,,,,,,,,,,,,,,,,
50,/Event/7434046693/7434124598/7434354071/7437900266/7438391031,7438391031,,,,2023-03-09T08:04:00,2023-03-09T13:09:00,,7434046693,eng,,fortune.com,,,,,,,,,,,,,,,,,,,,,,,,
51,/Event/7434046693/7434124598/7434354071/7437900266/7438441335,7438441335,,,,2023-03-09T08:04:00,2023-03-09T13:40:00,,7434046693,eng,,in.mashable.com,,,,,,,,,,,,,,,,,,,,,,,,
52,/Event/7434046693/7434124598/7434354071/7437900266/7439062661,7439062661,,,,2023-03-09T08:04:00,2023-03-09T21:01:00,,7434046693,eng,,indiatimes.com,,,,,,,,,,,,,,,,,,,,,,,,
53,/Event/7434046693/7434124598/7434499319,7434499319,,,,2023-03-07T04:34:00,2023-03-07T09:52:00,,7434046693,eng,,gadgetsnow.com,,,,,,,,,,,,,,,,,,,,,,,,
54,/Event/7434046693/7434124598/7434779922,7434779922,EU,UK,C4,2023-03-07T04:34:00,2023-03-07T12:59:00,C2,7434046693,eng,Center-left,dailymail.co.uk,ChatGPT,?,Eng,NATO,?,Christian,,,,,,,,,,,,,,,,,,
55,/Event/7434046693/7434130392,7434130392,,USA,C4,2023-03-07T02:56:00,2023-03-07T04:41:00,C2,7434046693,eng,unknown,dr.marketwatch.com,?,NAFTA,Eng,NATO,?,Christian,,,,,,,,,,,,,,,,,,
56,/Event/7434046693/7434130392/7435299992,7435299992,,,,2023-03-07T04:41:00,2023-03-07T19:19:00,,7434046693,eng,,bullfrag.com,,,,,,,16,20,3,23,69,91,68,17,29,26,4,62,28,29,40,69,9,46
57,/Event/7434046693/7434135836,7434135836,AS,IN,C18,2023-03-07T02:56:00,2023-03-07T04:48:00,C17,7434046693,eng,unknown,news.abplive.com,?,?,?,?,?,Hindu,,,,,,,,,,,,,,,,,,
58,/Event/7434046693/7434139882,7434139882,,,,2023-03-07T02:56:00,2023-03-07T04:53:00,,7434046693,eng,,telecomlive.com,,,,,,,,,,,,,,,,,,,,,,,,
59,/Event/7434046693/7434149836,7434149836,,,,2023-03-07T02:56:00,2023-03-07T05:04:00,,7434046693,eng,,rocketnews.com,,,,,,,,,,,,,,,,,,,,,,,,
60,/Event/7434046693/7434150628,7434150628,AS,MY,C18,2023-03-07T02:56:00,2023-03-07T05:05:00,C9,7434046693,eng,Center-right,thestar.com.my,ChatGPT,ASEAN,?,?,?,Muslim,,,,,,,,,,,,,,,,,,
61,/Event/7434046693/7434174010,7434174010,,,,2023-03-07T02:56:00,2023-03-07T05:29:00,,7434046693,eng,,foxbusiness.com,,,,,,,,,,,,,,,,,,,,,,,,
62,/Event/7434046693/7434178528,7434178528,,USA,C4,2023-03-07T02:56:00,2023-03-07T05:33:00,C2,7434046693,eng,unknown,cnbc.com,?,NAFTA,Eng,NATO,?,Christian,,,,,,,,,,,,,,,,,,
